"","Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Establishment_Year","Outlet_Size","Outlet_Location_Type","Outlet_Type","YOB"
"2523","FDX59",10.195,"Low Fat",0.086470378,"Breads",33.6558,"OUT010",1998,"Medium","Tier 3","Grocery Store",21
"2524","FDC37",15.5,"Low Fat",0.033007266,"Baking Goods",106.0938,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"2525","FDP58",11.1,"Low Fat",0.135029856,"Snack Foods",218.9482,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"2526","NCY42",6.38,"Low Fat",0.015159706,"Household",142.447,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"2527","FDF21",10.3,"Regular",0.059067021,"Fruits and Vegetables",189.653,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"2528","FDU10",18.6965651014782,"Regular",0.045470757,"Snack Foods",38.1848,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"2529","DRL47",19.7,"Low Fat",0.038894579,"Hard Drinks",124.7362,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"2530","FDA58",9.395,"Low Fat",0,"Snack Foods",237.6932,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"2531","FDJ22",18.75,"LF",0.05289235,"Snack Foods",192.7504,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"2532","FDK50",7.96,"LF",0.028363203,"Canned",160.4894,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"2533","FDO38",17.25,"Low Fat",0.072825279,"Canned",78.1986,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"2534","DRF60",10.8,"Low Fat",0.052058877,"Soft Drinks",239.7564,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"2535","NCZ42",11.2958905038272,"Low Fat",0.019763707,"Household",236.3248,"OUT019",1985,"Small","Tier 1","Grocery Store",34
"2536","FDD35",12.15,"Low Fat",0.025904641,"Starchy Foods",118.844,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"2537","FDL25",6.92,"Regular",0.131190433,"Breakfast",92.7804,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17
"2538","FDJ16",9.195,"Low Fat",0.114790042,"Frozen Foods",57.3246,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"2539","DRK59",8.895,"Low Fat",0.075567131,"Hard Drinks",234.8616,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"2540","FDI50",8.42,"Regular",0.030842666,"Canned",231.0352,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"2541","NCB19",6.525,"Low Fat",0.09047883,"Household",87.1882,"OUT045",2002,"Small","Tier 2","Supermarket Type1",17
"2542","DRI37",15.85,"Low Fat",0.107577534,"Soft Drinks",59.8904,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"2543","FDA14",12.1012241386326,"Low Fat",0.064867575,"Dairy",147.876,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"2544","FDC08",19,"Regular",0.103871404,"Fruits and Vegetables",227.772,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"2545","FDS45",5.175,"Regular",0.029495954,"Snack Foods",104.5622,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"2546","FDI21",5.59,"Regular",0.056690821,"Snack Foods",63.4168,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"2547","DRJ47",18.25,"Low Fat",0.044241936,"Hard Drinks",174.308,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"2548","DRE37",17.8037152888779,"Low Fat",0.09376333,"Soft Drinks",188.8872,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"2549","FDT55",13.6,"Regular",0.043832988,"Fruits and Vegetables",158.0946,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"2550","NCG42",6.33441570234169,"Low Fat",0.041028183,"Household",129.131,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"2551","FDA31",7.1,"Low Fat",0.110182726,"Fruits and Vegetables",171.208,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"2552","NCW42",18.2,"Low Fat",0,"Household",222.0456,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"2553","FDF50",4.905,"Low Fat",0.117994019,"Canned",195.2768,"OUT017",2007,"Small","Tier 2","Supermarket Type1",12
"2554","FDK56",9.695,"Low Fat",0.130200124,"Fruits and Vegetables",186.7898,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"2555","FDX10",6.385,"Regular",0.123687134,"Snack Foods",36.8874,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"2556","NCK07",14.7928007665095,"Low Fat",0.048450921,"Others",163.3526,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"2557","FDZ49",11,"Regular",0.133898743,"Canned",222.0798,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12
"2558","FDR33",7.31,"Low Fat",0.026766644,"Snack Foods",108.657,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"2559","FDO44",12.6,"Low Fat",0,"Fruits and Vegetables",110.8228,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"2560","FDA20",6.78,"Low Fat",0.066621085,"Fruits and Vegetables",186.624,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"2561","NCL30",18.1,"Low Fat",0.049039681,"Household",127.8336,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17
"2562","FDI05",18.0253703257235,"Regular",0.222132498,"Frozen Foods",74.4354,"OUT019",1985,"Small","Tier 1","Grocery Store",34
"2563","FDQ12",12.65,"Low Fat",0.035554996,"Baking Goods",228.501,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"2564","FDH47",13.5,"Regular",0,"Starchy Foods",95.8068,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12
"2565","FDH34",8.63,"Low Fat",0.031221915,"Snack Foods",185.8582,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"2566","FDF29",15.1,"Regular",0.019934187,"Frozen Foods",131.431,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"2567","FDG40",13.65,"Low Fat",0.039986574,"Frozen Foods",34.3558,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"2568","NCE18",10,"Low Fat",0.021546531,"Household",249.175,"OUT017",2007,"High","Tier 2","Supermarket Type1",12
"2569","FDP21",7.42,"Regular",0.043084893,"Snack Foods",189.1872,"OUT010",1998,"Medium","Tier 3","Grocery Store",21
"2570","FDY50",5.8,"Low Fat",0.130846833,"Dairy",88.6172,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"2571","FDB36",5.465,"Regular",0,"Baking Goods",129.2626,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"2572","NCZ29",15,"Low Fat",0.071482421,"Health and Hygiene",127.2362,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"2573","FDU20",19.35,"Regular",0.02154496,"Fruits and Vegetables",119.0098,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"2574","FDO56",10.195,"Regular",0.044945123,"Fruits and Vegetables",117.7808,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"2575","FDW31",11.35,"Regular",0.043225203,"Fruits and Vegetables",197.7742,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"2576","DRH59",10.8,"Low Fat",0.058384823,"Hard Drinks",74.838,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"2577","NCB30",14.6,"Low Fat",0.02584838,"Household",197.5084,"OUT017",2007,"Small","Tier 2","Supermarket Type1",12
"2578","FDK43",16.6066894411931,"Low Fat",0.026710788,"Meat",127.902,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"2579","FDW43",20.1,"Regular",0.022470715,"Fruits and Vegetables",229.3036,"OUT045",2002,"Small","Tier 2","Supermarket Type1",17
"2580","NCL19",15.35,"Low Fat",0.015764902,"Others",141.147,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12
"2581","FDJ27",17.7,"Regular",0.121876033,"Meat",100.3674,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"2582","FDC45",17,"low fat",0.135733218,"Fruits and Vegetables",169.9106,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"2583","FDY40",15.5,"Regular",0.085818761,"Frozen Foods",51.2692,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"2584","NCM41",16.5,"Low Fat",0.035649249,"Health and Hygiene",91.912,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"2585","NCK18",16.8886774768601,"Low Fat",0.011727514,"Household",164.5184,"OUT019",1985,"Small","Tier 1","Grocery Store",34
"2586","FDP37",15.6,"Low Fat",0.143328443,"Breakfast",129.7994,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"2587","FDA27",13.542089787374,"Regular",0.030777863,"Dairy",255.5672,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"2588","NCX30",16.7,"Low Fat",0.026615593,"Household",247.4776,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"2589","FDR09",18.25,"Low Fat",0.078164241,"Snack Foods",256.9962,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12
"2590","FDG08",17.8991089205962,"Regular",0.164558565,"Fruits and Vegetables",172.6764,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"2591","NCU30",5.11,"Low Fat",0.034845668,"Household",164.621,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"2592","FDB16",8.21,"Low Fat",0.045179902,"Dairy",87.8198,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12
"2593","FDM16",8.155,"Regular",0.033745202,"Frozen Foods",73.6354,"OUT017",2007,"High","Tier 2","Supermarket Type1",12
"2594","FDC48",9.195,"Low Fat",0.015846096,"Baking Goods",81.5592,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"2595","NCF18",18.35,"Low Fat",0.088982596,"Household",189.9504,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"2596","FDU46",10.3,"reg",0.011171624,"Snack Foods",86.954,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"2597","FDH41",9,"Low Fat",0.082345601,"Frozen Foods",214.5534,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"2598","NCN42",20.25,"Low Fat",0.023805745,"Household",145.5418,"OUT010",1998,"Small","Tier 3","Grocery Store",21
"2599","FDU49",19.5,"Regular",0.030694361,"Canned",88.254,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"2600","FDB20",14.3080647614915,"Low Fat",0.051728948,"Fruits and Vegetables",77.9986,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"2601","FDG50",17.8313204582293,"Low Fat",0.026738937,"Canned",89.6146,"OUT019",1985,"Small","Tier 1","Grocery Store",34
"2602","FDW20",20.75,"Low Fat",0.024198404,"Fruits and Vegetables",122.073,"OUT045",2002,"Small","Tier 2","Supermarket Type1",17
"2603","NCO55",12.8,"Low Fat",0.091178768,"Others",109.1938,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"2604","FDX48",17.75,"Regular",0.037887894,"Baking Goods",154.6656,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"2605","FDU48",18.85,"Low Fat",0.055358452,"Baking Goods",132.7284,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"2606","FDR48",14.3326885351859,"Low Fat",0.230246928,"Baking Goods",152.1024,"OUT019",1985,"Small","Tier 1","Grocery Store",34
"2607","FDK27",11,"Low Fat",0.008939091,"Meat",122.7756,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"2608","FDT35",19.85,"Regular",0.081387594,"Breads",166.0816,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"2609","FDN12",15.6,"Low Fat",0.081230024,"Baking Goods",109.8544,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"2610","NCE31",8.53230169584657,"low fat",0.323637245,"Household",35.5216,"OUT019",1985,"Small","Tier 1","Grocery Store",34
"2611","FDL21",15.85,"Regular",0.007186838,"Snack Foods",41.148,"OUT017",2007,"Small","Tier 2","Supermarket Type1",12
"2612","FDV56",16.1,"Regular",0.013672625,"Fruits and Vegetables",106.8596,"OUT017",2007,"Small","Tier 2","Supermarket Type1",12
"2613","FDR16",5.845,"Regular",0.105612027,"Frozen Foods",214.8218,"OUT017",2007,"High","Tier 2","Supermarket Type1",12
"2614","NCP41",16.6,"Low Fat",0.016235909,"Health and Hygiene",108.9596,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"2615","FDJ27",17.7,"Regular",0.121774611,"Meat",101.8674,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"2616","FDA07",7.55,"Regular",0.03111966,"Fruits and Vegetables",122.6072,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12
"2617","FDK55",18.5,"Low Fat",0.02580175,"Meat",89.0172,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"2618","FDM33",15.6,"Low Fat",0.087856073,"Snack Foods",220.7798,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"2619","FDY46",18.6,"Low Fat",0.047889939,"Snack Foods",186.9898,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"2620","FDD36",13.3,"Low Fat",0.021273561,"Baking Goods",117.8124,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"2621","FDB12",13.7902918693475,"Regular",0.104797702,"Baking Goods",101.8648,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"2622","FDF28",11.3296537153228,"Regular",0.066296239,"Frozen Foods",125.9046,"OUT019",1985,"Small","Tier 1","Grocery Store",34
"2623","NCE07",13.5274626578484,"Low Fat",0.022988989,"Household",143.3154,"OUT019",1985,"Small","Tier 1","Grocery Store",34
"2624","FDW50",7.41629060281045,"Low Fat",0.075212058,"Dairy",165.1158,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"2625","NCW18",15.1,"Low Fat",0.059660386,"Household",236.7248,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12
"2626","NCJ17",11.9817437893544,"Low Fat",0.267106722,"Health and Hygiene",85.4224,"OUT019",1985,"Small","Tier 1","Grocery Store",34
"2627","DRZ24",7.535,"Low Fat",0.13689554,"Soft Drinks",120.244,"OUT010",1998,"High","Tier 3","Grocery Store",21
"2628","FDS07",12.35,"Low Fat",0,"Fruits and Vegetables",115.0518,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"2629","NCW05",20.25,"Low Fat",0.247843179,"Health and Hygiene",107.6938,"OUT010",1998,"Small","Tier 3","Grocery Store",21
"2630","FDZ22",9.395,"Low Fat",0.045454306,"Snack Foods",83.125,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"2631","FDK02",12.5,"Low Fat",0,"Canned",118.144,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"2632","FDZ45",12.4732121568811,"Low Fat",0,"Snack Foods",196.6084,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"2633","FDL25",6.92,"Regular",0.130924914,"Breakfast",91.1804,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"2634","FDS08",5.735,"Low Fat",0.057076739,"Fruits and Vegetables",175.737,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17
"2635","NCZ42",12.7845456069108,"Low Fat",0.011233267,"Household",235.5248,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"2636","FDX57",17.25,"Regular",0.047257274,"Snack Foods",97.0068,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"2637","FDF21",10.3,"Regular",0.058827383,"Fruits and Vegetables",189.853,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"2638","FDJ56",8.985,"Low Fat",0.184150125,"Fruits and Vegetables",98.47,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"2639","FDX10",6.385,"Regular",0.123607578,"Snack Foods",36.4874,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"2640","DRG48",5.78,"Low Fat",0.014552313,"Soft Drinks",145.1102,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"2641","DRN37",9.6,"Low Fat",0.096297398,"Soft Drinks",167.3158,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"2642","NCY41",16.75,"Low Fat",0.076044136,"Health and Hygiene",34.9532,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"2643","FDN28",5.88,"Regular",0.030309247,"Frozen Foods",103.499,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17
"2644","FDE34",9.195,"Low Fat",0.108110205,"Snack Foods",181.5634,"OUT045",2002,"Small","Tier 2","Supermarket Type1",17
"2645","FDR10",17.6,"Low Fat",0.010060255,"Snack Foods",163.8552,"OUT045",2002,"Small","Tier 2","Supermarket Type1",17
"2646","FDC32",18.35,"Low Fat",0.099669602,"Fruits and Vegetables",92.9462,"OUT017",2007,"Small","Tier 2","Supermarket Type1",12
"2647","DRG13",17.25,"Low Fat",0.037186151,"Soft Drinks",164.3526,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"2648","FDP59",20.85,"Regular",0.056553503,"Breads",104.9648,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"2649","NCT53",5.4,"LF",0.080536751,"Health and Hygiene",165.8526,"OUT010",1998,"High","Tier 3","Grocery Store",21
"2650","FDL57",17.223272493603,"Regular",0.066751989,"Snack Foods",257.4304,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"2651","FDN32",17.5,"Low Fat",0.026044866,"Fruits and Vegetables",185.2266,"OUT010",1998,"High","Tier 3","Grocery Store",21
"2652","FDK09",15.2,"Low Fat",0.092137107,"Snack Foods",227.4352,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"2653","FDA52",16.2,"Regular",0.214952566,"Frozen Foods",178.437,"OUT010",1998,"Medium","Tier 3","Grocery Store",21
"2654","FDC57",20.1,"Regular",0.054679411,"Fruits and Vegetables",193.282,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"2655","FDI09",20.75,"Regular",0.129313138,"Seafood",239.488,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"2656","NCB07",19.2,"Low Fat",0.077507549,"Household",197.911,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"2657","FDP26",7.785,"Low Fat",0.139526439,"Dairy",103.1306,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"2658","FDP40",14.5220205468215,"Regular",0.034190793,"Frozen Foods",112.0544,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"2659","FDL15",17.85,"Low Fat",0.046595951,"Meat",151.5682,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"2660","FDV07",9.5,"Low Fat",0,"Fruits and Vegetables",111.3228,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"2661","FDS03",7.825,"Low Fat",0.080079022,"Meat",65.1826,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12
"2662","FDE50",19.7,"Regular",0.016230842,"Canned",185.9556,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"2663","FDQ15",20.35,"Regular",0.15192798,"Meat",79.4276,"OUT017",2007,"Small","Tier 2","Supermarket Type1",12
"2664","FDQ33",13.35,"Low Fat",0.15266209,"Snack Foods",150.3708,"OUT010",1998,"Medium","Tier 3","Grocery Store",21
"2665","FDT22",10.395,"Low Fat",0.112003932,"Snack Foods",58.022,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"2666","DRO35",13.85,"Low Fat",0.03456382,"Hard Drinks",117.2492,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"2667","FDJ41",6.85,"LF",0.022918858,"Frozen Foods",261.5594,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"2668","FDQ27",5.19,"Regular",0.044244253,"Meat",104.899,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"2669","FDC26",10.195,"Low Fat",0.127097968,"Canned",112.3886,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12
"2670","NCF43",15.2689058723621,"Low Fat",0,"Household",142.947,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"2671","NCR50",20.2,"Low Fat",0.011817852,"Household",153.134,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"2672","FDE39",7.89,"Low Fat",0.036281701,"Dairy",119.6782,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"2673","FDN49",9.48123987553992,"Regular",0.124618061,"Breakfast",40.548,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"2674","DRG11",6.385,"Low Fat",0.083822437,"Hard Drinks",107.3596,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"2675","NCA18",10.1,"Low Fat",0.05616476,"Household",117.0492,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"2676","FDM36",11.65,"Regular",0.058970075,"Baking Goods",171.9422,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"2677","FDW32",18.35,"Regular",0.094830216,"Fruits and Vegetables",85.6882,"OUT017",2007,"Small","Tier 2","Supermarket Type1",12
"2678","NCQ18",15.75,"Low Fat",0.226084177,"Household",98.67,"OUT010",1998,"High","Tier 3","Grocery Store",21
"2679","FDX14",14.8428742120131,"Low Fat",0.07457713,"Dairy",76.2354,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"2680","FDD46",6.035,"Low Fat",0.142055011,"Snack Foods",152.3998,"OUT017",2007,"Small","Tier 2","Supermarket Type1",12
"2681","FDI34",12.186992826843,"Regular",0.149062064,"Snack Foods",232.1668,"OUT019",1985,"Small","Tier 1","Grocery Store",34
"2682","NCJ17",7.68,"Low Fat",0.152527644,"Health and Hygiene",85.2224,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"2683","FDB52",17.75,"Low Fat",0.030429846,"Dairy",257.2672,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"2684","FDV55",17.75,"LF",0.055297776,"Fruits and Vegetables",143.7444,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"2685","FDC57",20.1,"Regular",0.054594531,"Fruits and Vegetables",191.682,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"2686","FDB29",16.7,"Regular",0.052411676,"Frozen Foods",115.2176,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"2687","NCO43",5.5,"Low Fat",0.047089304,"Others",100.1016,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"2688","FDG44",6.13,"Low Fat",0.102398197,"Fruits and Vegetables",52.7298,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17
"2689","FDJ34",11.8,"Regular",0.093845664,"Snack Foods",126.4704,"OUT045",2002,"Small","Tier 2","Supermarket Type1",17
"2690","FDH40",11.6,"Regular",0.079052286,"Frozen Foods",82.3276,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"2691","NCD07",9.43797374657119,"Low Fat",0.055160326,"Household",111.9518,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"2692","FDB41",19,"Regular",0.097863571,"Frozen Foods",46.0718,"OUT017",2007,"Small","Tier 2","Supermarket Type1",12
"2693","FDH47",13.5,"Regular",0.129340955,"Starchy Foods",95.7068,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"2694","DRK37",5,"low fat",0.043996354,"Soft Drinks",189.353,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"2695","FDM25",12.2705191282195,"Regular",0.106217878,"Breakfast",176.7712,"OUT019",1985,"Small","Tier 1","Grocery Store",34
"2696","NCX06",17.6,"Low Fat",0.015718858,"Household",182.3976,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17
"2697","NCS05",11.5,"Low Fat",0.021096732,"Health and Hygiene",132.8942,"OUT017",2007,"High","Tier 2","Supermarket Type1",12
"2698","FDS39",6.895,"Low Fat",0.022506125,"Meat",142.2812,"OUT045",2002,"High","Tier 2","Supermarket Type1",17
"2699","FDC47",11.6205362358536,"Low Fat",0.118314903,"Snack Foods",226.5694,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"2700","FDG20",15.5,"Regular",0.125583323,"Fruits and Vegetables",178.3028,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"2701","DRL23",18.35,"Low Fat",0.015390879,"Hard Drinks",106.1938,"OUT017",2007,"Small","Tier 2","Supermarket Type1",12
"2702","FDY33",14.5,"Regular",0.09712024,"Snack Foods",158.3262,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"2703","NCH18",9.3,"Low Fat",0.044751804,"Household",243.8802,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17
"2704","FDX47",6.55,"Regular",0.0345978,"Breads",155.4288,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"2705","NCB06",17.6,"Low Fat",0.082499046,"Health and Hygiene",159.192,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17
"2706","FDP36",10.395,"Regular",0,"Baking Goods",49.6008,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"2707","FDW44",9.5,"Regular",0.035294406,"Fruits and Vegetables",172.1448,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"2708","NCU41",18.85,"Low Fat",0.052266868,"Health and Hygiene",191.8846,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"2709","NCS17",18.6,"Low Fat",0.080501443,"Health and Hygiene",96.2436,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"2710","FDD46",6.035,"Low Fat",0.1412293,"Snack Foods",155.5998,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"2711","FDE45",12.1,"Low Fat",0.040585593,"Fruits and Vegetables",177.5002,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12
"2712","FDI09",20.75,"Regular",0.130069181,"Seafood",238.988,"OUT017",2007,"Small","Tier 2","Supermarket Type1",12
"2713","NCJ54",9.895,"Low Fat",0.100540036,"Household",234.0642,"OUT010",1998,"Small","Tier 3","Grocery Store",21
"2714","NCA29",10.5,"Low Fat",0.027387523,"Household",172.1106,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10
"2715","NCN41",13.2631704935567,"Low Fat",0.051956477,"Health and Hygiene",122.773,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34
"2716","FDY34",10.5,"Regular",0.010979782,"Snack Foods",164.2842,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"2717","NCG55",16.25,"Low Fat",0.039138761,"Household",116.1176,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15
"2718","DRM49",6.11,"Regular",0.151954004,"Soft Drinks",44.4086,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22
"2719","NCB42",11.8,"Low Fat",0.008574487,"Health and Hygiene",115.4492,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"2720","FDE58",18.5,"Low Fat",0.052174319,"Snack Foods",116.8124,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17
"2721","DRJ25",14.6,"Low Fat",0.150442215,"Soft Drinks",50.6692,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"2722","FDS47",16.75,"Low Fat",0.215728288,"Breads",86.9856,"OUT010",1998,"Medium","Tier 3","Grocery Store",21
"2723","FDY21",15.1,"Low Fat",0.173751022,"Snack Foods",198.211,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20
"2724","NCI54",15.2,"Low Fat",0.03357108,"Household",111.1912,"OUT013",1987,"High","Tier 3","Supermarket Type1",32
"2725","FDO24",11.1,"Low Fat",0.177212413,"Baking Goods",158.1604,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12
